name,time,payload,value
CurrentTemp,1668981401275889819,,45.61
CurrentTemp,1668983201338328085,,44.67
CurrentTemp,1668985001311646205,,41.41
CurrentTemp,1668986801224211070,,41.11
CurrentTemp,1668988601282137174,,37.56
CurrentTemp,1668990401691068626,,37.6
CurrentTemp,1668992201273007553,,37.71
CurrentTemp,1668994001356923431,,37.38
CurrentTemp,1668995801846312235,,36.64
CurrentTemp,1668997601729714584,,36.3
CurrentTemp,1668999401608435561,,36.14
CurrentTemp,1669001202115843963,,35.49
CurrentTemp,1669003001921239003,,35.37
CurrentTemp,1669004801838661807,,34.77
CurrentTemp,1669006601590378058,,34.38
CurrentTemp,1669008401727855842,,34.09
CurrentTemp,1669010201719459232,,34.34
CurrentTemp,1669012001604904858,,33.66
CurrentTemp,1669013802414040619,,33.3
CurrentTemp,1669015601487643139,,33.26
CurrentTemp,1669017401400275973,,33.06
CurrentTemp,1669019201290184738,,32.99
CurrentTemp,1669021001459747143,,32.97
CurrentTemp,1669022801421690529,,32.85
CurrentTemp,1669024601323254546,,32.79
CurrentTemp,1669026401403415349,,32.9
CurrentTemp,1669028201326653105,,32.86
CurrentTemp,1669030001334521311,,32.74
CurrentTemp,1669031801344835591,,32.63
CurrentTemp,1669033601414373644,,32.47
CurrentTemp,1669035401484771179,,32.18
CurrentTemp,1669037201517811409,,31.87
CurrentTemp,1669039001627080428,,33.12
CurrentTemp,1669040801637783852,,35.31
CurrentTemp,1669042601506354106,,37.69
CurrentTemp,1669044401516915691,,39.9
CurrentTemp,1669057001656645609,,52.47
CurrentTemp,1669058801480399274,,53.58
CurrentTemp,1669060601525080178,,54.79
CurrentTemp,1669062401606703665,,55.6
CurrentTemp,1669064201526913851,,56.1
CurrentTemp,1669066001473631347,,56.3
CurrentTemp,1669067801609128910,,53.64
CurrentTemp,1669069601563480441,,53.06
CurrentTemp,1669071401550362060,,51.78
CurrentTemp,1669073201615734821,,47.75
CurrentTemp,1669075001932137736,,45.21
CurrentTemp,1669076801751214227,,44.51
CurrentTemp,1669078602347060131,,42.98
CurrentTemp,1669080401793955640,,42.3
CurrentTemp,1669082201866997949,,40.82
CurrentTemp,1669084001691738432,,40.73
CurrentTemp,1669085801710670036,,39.74
CurrentTemp,1669087602106505989,,39.45
CurrentTemp,1669089402081598001,,39.11
CurrentTemp,1669091201664530345,,39.87
CurrentTemp,1669093001981337618,,39.49
CurrentTemp,1669094801545624702,,38.73
CurrentTemp,1669096601539139169,,38.5
CurrentTemp,1669098401731230026,,37.9
CurrentTemp,1669100201622610104,,37.56
CurrentTemp,1669102001722617851,,37.04
CurrentTemp,1669103801638093473,,36.52
CurrentTemp,1669105601707842706,,36.23
CurrentTemp,1669107401661656900,,35.98
CurrentTemp,1669109201966715951,,34.77
CurrentTemp,1669111001609255703,,34.41
CurrentTemp,1669112801653363629,,33.94
CurrentTemp,1669114601621197747,,33.4
CurrentTemp,1669116401691916583,,33.19
CurrentTemp,1669118201740104607,,32.77
CurrentTemp,1669120001666065729,,32.41
CurrentTemp,1669121801835987226,,32.61
CurrentTemp,1669123601926909807,,32.32
CurrentTemp,1669125401701633719,,33.39
CurrentTemp,1669127188665273662,,34.3
CurrentTemp,1669127591769595480,,36
CurrentTemp,1669129391619413145,,38.91
CurrentTemp,1669131191514949221,,42.13
CurrentTemp,1669132991772147524,,44.92
CurrentTemp,1669133217824614490,,45.12
CurrentTemp,1669135017520659951,,47.59
CurrentTemp,1669136817555552712,,50.36
CurrentTemp,1669138617753403736,,52.83
CurrentTemp,1669140417782150783,,55.22
CurrentTemp,1669142217482280049,,56.62
CurrentTemp,1669144018300110010,,58.75
CurrentTemp,1669145817561913756,,59.92
CurrentTemp,1669147617505033336,,60.69
CurrentTemp,1669149417455479780,,60.93
CurrentTemp,1669151217547483861,,61.29
CurrentTemp,1669153017613318394,,60.4
CurrentTemp,1669154817488497271,,59.05
CurrentTemp,1669156617451642784,,58.84
CurrentTemp,1669158417373857205,,53.71
CurrentTemp,1669160217473275926,,53.1
CurrentTemp,1669162017480010979,,50.7
CurrentTemp,1669163817640071119,,49.75
CurrentTemp,1669165617444738196,,48.94
CurrentTemp,1669167417405050452,,48.09
CurrentTemp,1669169218307008899,,47.01
CurrentTemp,1669171017977657836,,46.38
CurrentTemp,1669172817477126730,,45.79
CurrentTemp,1669174617690574944,,44.94
CurrentTemp,1669176417578934416,,45.1
CurrentTemp,1669178217512800807,,45.05
CurrentTemp,1669180017704441427,,44.67
CurrentTemp,1669181817775785957,,43.61
CurrentTemp,1669183617528968569,,43.57
CurrentTemp,1669185417801122465,,43.88
CurrentTemp,1669187217459258682,,43.29
CurrentTemp,1669189017578908743,,43.27
CurrentTemp,1669190817616136148,,42.06
CurrentTemp,1669192617470889825,,41.9
CurrentTemp,1669194417592083857,,41.31
CurrentTemp,1669196217585737041,,40.89
CurrentTemp,1669198017617537704,,40.03
CurrentTemp,1669199817493480052,,39.85
CurrentTemp,1669201617642691589,,39.67
CurrentTemp,1669203417481843236,,38.7
CurrentTemp,1669205217603513742,,38.46
CurrentTemp,1669207017538053668,,38.03
CurrentTemp,1669208817623375043,,37.71
CurrentTemp,1669210617738260866,,37.81
CurrentTemp,1669212417568137863,,38.8
CurrentTemp,1669214217906366380,,40.77
CurrentTemp,1669216018146089633,,43.61
CurrentTemp,1669217817752112186,,45.59
CurrentTemp,1669219617722939233,,48.61
CurrentTemp,1669221418025367326,,50.85
CurrentTemp,1669223217901581820,,52.77
CurrentTemp,1669225017890691162,,54.03
CurrentTemp,1669226817894102607,,55.56
CurrentTemp,1669228617598286394,,56.59
CurrentTemp,1669230417969657842,,56.12
CurrentTemp,1669232217735123111,,56.68
CurrentTemp,1669234017808445238,,57.81
